epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1316.27,1.6596,3.03347,2.00649,0.16769,0.31709,0.15419,0.06899,2.08673,3.82951,2.70372,0.000468525,0.000468525,0.000468525
2,2668.43,1.73447,2.549,2.03454,0.31782,0.36759,0.16486,0.06036,2.16041,3.77618,3.06948,0.000898087,0.000898087,0.000898087
3,3971.95,1.72843,2.48173,2.05087,0.13918,0.22642,0.11338,0.03197,2.46233,4.74304,3.24372,0.00128049,0.00128049,0.00128049
4,5248.18,1.69872,2.39839,2.03448,0.18717,0.23589,0.15179,0.05634,2.40385,3.55216,2.98314,0.00121679,0.00121679,0.00121679
5,6543.75,1.63896,2.31669,1.99138,0.78418,0.23491,0.21163,0.07974,2.24687,3.33668,3.08121,0.00114606,0.00114606,0.00114606
6,7828.9,1.61542,2.27496,1.95509,0.29954,0.30001,0.2401,0.10167,2.21025,3.28841,2.75445,0.00107532,0.00107532,0.00107532
7,9081.2,1.62723,2.26814,1.96316,0.27913,0.46612,0.31895,0.13903,1.99929,3.26369,2.46899,0.00100459,0.00100459,0.00100459
8,10312.2,1.60975,2.11846,1.94081,0.48871,0.4162,0.36867,0.14107,2.20474,2.48552,2.55543,0.000933851,0.000933851,0.000933851
9,11599.9,1.56367,2.16348,1.9155,0.43571,0.42389,0.33694,0.14826,2.03863,2.4646,2.54883,0.000863116,0.000863116,0.000863116
10,12936.7,1.54958,2.12629,1.91269,0.44534,0.47516,0.41016,0.18258,1.96381,2.4502,2.47443,0.00079238,0.00079238,0.00079238
11,14145.3,1.70517,2.22521,2.19728,0.56137,0.43344,0.44916,0.21112,1.89722,2.27406,2.41543,0.000721645,0.000721645,0.000721645
12,15338.1,1.67804,2.05305,2.21515,0.49647,0.45481,0.4398,0.1996,1.92359,2.2455,2.4676,0.000650909,0.000650909,0.000650909
13,16546.6,1.65035,2.01432,2.16025,0.63652,0.49571,0.51367,0.23709,1.90678,2.10839,2.3682,0.000580174,0.000580174,0.000580174
14,17738.6,1.60456,1.93177,2.11751,0.69614,0.5075,0.54561,0.24023,1.91413,2.02787,2.37016,0.000509438,0.000509438,0.000509438
15,18951.3,1.56286,1.83968,2.07875,0.60785,0.51345,0.52422,0.24181,1.89708,2.00414,2.30033,0.000438703,0.000438703,0.000438703
16,20170.4,1.55404,1.80032,2.08694,0.60317,0.56576,0.56034,0.26953,1.78111,1.98093,2.19193,0.000367967,0.000367967,0.000367967
17,21387.7,1.54669,1.76693,2.04901,0.62142,0.52373,0.54682,0.248,1.8502,1.92828,2.27952,0.000297232,0.000297232,0.000297232
18,22609.4,1.53599,1.69536,2.06175,0.62714,0.57584,0.59131,0.28131,1.81759,1.84304,2.21224,0.000226497,0.000226497,0.000226497
19,23812,1.48344,1.67234,1.99086,0.63372,0.57983,0.59364,0.29079,1.78767,1.81227,2.21488,0.000155761,0.000155761,0.000155761
20,25074.4,1.47351,1.6244,2.01264,0.65959,0.56586,0.6024,0.29342,1.80577,1.82345,2.21473,8.50255e-05,8.50255e-05,8.50255e-05
